danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.602,0.864,-5.282,0.0661,0.0149,0,0.0246,0.71,179.391,36YNa8joLwu9yor2TkZbIY,222533,Objection (Tango)
0.766,0.822,-4.126,0.16,0.39,3.37e-05,0.349,0.881,165.842,7DrluKkTviBwCc8AV3VGmf,231921,Clandestino
0.795,0.819,-4.933,0.0433,0.184,0.0013,0.346,0.613,127.984,6i2kn3iS5WKzsaYBdeHLIQ,197627,La La La (Brasil 2014) (feat. Carlinhos Brown)
0.736,0.964,-2.147,0.129,0.198,2.32e-06,0.336,0.953,179.935,0sXvAOmXgjR2QUqLK1MltU,227707,La Bicicleta
0.74,0.879,-2.251,0.105,0.193,8.25e-05,0.0928,0.948,103.71,4qknM1pQz53QOyfDVTjcM9,226893,Me Enamoré
0.687,0.361,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,0OEBOJhSObnFuHuasXdt52,173133,Dia de Enero
0.757,0.872,-6.388,0.141,0.00705,0,0.0665,0.719,127.013,6UdG0n7SNaWydrDu3PBq21,202627,Waka Waka (This Time for Africa) (feat. Freshlyground)
0.717,0.952,-4.902,0.0481,0.15,0,0.166,0.665,126.993,4EDfdYJ7mqXRoWAqzF1PVO,235733,Ojos Así
0.792,0.73,-5.376,0.0698,0.0623,2.66e-05,0.089,0.616,128.029,0YoUczWJPqphLvxnTXG00N,186507,Dare (La La La)
0.595,0.461,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,78dbqYDvx6FOefROApu9w0,192867,Inevitable
0.854,0.727,-5.064,0.0377,0.292,1.08e-05,0.0779,0.519,122.033,3MhdQkxCOkM41Q7oPFIABJ,217133,"Shakira: Bzrp Music Sessions, Vol. 53"
0.695,0.636,-4.654,0.317,0.234,0,0.081,0.575,174.14,2rurDawMfoKP4uHyb2kJBt,172235,Te Felicito
0.768,0.845,-4.767,0.0337,0.179,0,0.209,0.891,108.977,3TY1PFZXmYeiLcXygB74My,194107,"Suerte (Whenever, Wherever)"
0.839,0.65,-3.38,0.212,0.666,0,0.126,0.7,90.015,2oMjKuKUEJFuLiVmTq7Vjx,198360,TQG
0.647,0.8,-5.384,0.165,0.0647,0,0.334,0.942,160.078,0cqRj7pUJDkTCEsJkx8snD,219200,Shake It Off
0.713,0.651,-5.268,0.0781,0.0741,0.000775,0.0668,0.512,180.043,2iVgM5C7m1G4CJGbms301G,173548,Copa Vacía
0.741,0.461,-9.263,0.105,0.839,0,0.0985,0.303,143.756,7txjUEY6McJDJKqIo1Rxjp,170786,Acróstico - Milan + Sasha
0.858,0.725,-3.828,0.0383,0.0222,3.07e-05,0.138,0.805,120.087,2dYXrWkNO40NXy2Q3IYLRc,181667,Puntería
0.799,0.748,-5.128,0.0894,0.0975,1.67e-05,0.092,0.617,128.021,4I4IWwxmrY8CUQ0lJAT3fW,186333,La La La
0.601,0.897,-5.423,0.0495,0.0174,7.61e-06,0.0299,0.66,179.356,1w5nWhUzrQqj0WnDXrgsnC,223200,"Te Aviso, Te Anuncio (Tango)"
0.562,0.709,-4.92,0.0424,0.00124,0,0.109,0.401,91.958,6O20JhBJPePEkBdrB5sqRx,225147,Diamonds
0.735,0.766,-4.485,0.0383,0.025,0.00141,0.108,0.6,127.975,0U10zFw4GlBacOy9VDGfGL,215227,We Found Love
0.769,0.685,-5.019,0.041,0.0105,0.000124,0.0887,0.836,127.977,7ySUcLPVX7KudhnmNcgY2D,243600,S&M
0.767,0.682,-5.02,0.042,0.0113,0.00016,0.104,0.833,127.975,0C4ejWmOTMv8vuYj85mf8m,243533,S&M
0.834,0.669,-5.582,0.0637,0.0341,7.18e-05,0.0535,0.547,122.669,0ByMNEPAPpOR5H69DVrTNy,267080,Don't Stop The Music
0.585,0.828,-4.603,0.124,0.00906,0,0.0426,0.584,174.034,49FYlytm3dAAraYgpoJZux,275987,Umbrella
0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,0.638,125.918,2ENexcMEMsYk0rVJigVD3i,235493,Only Girl (In The World)
0.749,0.925,-5.034,0.227,0.241,0,0.52,0.641,86.989,15JINEqzVMv3SvJTAXAKED,263373,Love The Way You Lie
0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.881,2Yy0FsAV2I5VXU4xpph2WN,240707,Stay
0.789,0.716,-4.241,0.0432,0.129,1.07e-05,0.069,0.611,125.906,0AH6WMe3OlAlUb5miXt2FQ,235493,Only Girl (In The World)
0.567,0.707,-5.455,0.0819,0.542,0.000177,0.1,0.751,171.918,4YYHgF9dWyVSor0GtrBzdf,208427,Te Amo
0.563,0.75,-4.496,0.127,0.113,0,0.0788,0.812,173.909,60jzFy6Nn4M0iD1d94oteF,222920,Rude Boy
0.699,0.671,-4.088,0.0372,0.0371,2.74e-05,0.236,0.472,84.021,57mKcbEq7nMqtJ4gqJvWcp,209600,Talk That Talk
0.779,0.64,-8.415,0.159,0.000155,0.000766,0.101,0.499,99.017,4TsmezEQVSZNNPv5RJ65Ov,246960,Pon de Replay
0.68,0.609,-5.222,0.044,0.323,0,0.102,0.325,94.35,4mCf3vQf7z0Yseo0RxAi3V,186467,Desperado
0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.881,0GNI8K3VATWBABQFAzBAYe,240707,Stay
0.707,0.814,-4.509,0.0577,0.0861,0,0.168,0.717,124.921,2VOomzT6VavJOGBeySqaMc,238627,Disturbia
0.247,0.299,-6.083,0.0315,0.899,0,0.131,0.172,177.115,6sCvvleqKbeyOkQDieBYgp,196520,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By
0.795,0.749,-3.604,0.0525,0.179,0,0.0875,0.761,115.003,5J4WHWFvEWRd2FBVhcTcmi,223040,"Dancing In The Dark - From The ""Home"" Soundtrack"
0.675,0.602,-4.733,0.116,0.00377,0,0.0458,0.933,127.938,7e1h7rqNB0BBC2fUuWEEFe,201040,Who's That Chick? (feat. Rihanna)
0.394,0.744,-5.465,0.276,0.00175,0,0.308,0.772,78.696,0EIsxWGPSte4cAHZw5aXr4,236680,We Ride
0.48,0.486,-5.754,0.0447,0.0469,0,0.107,0.265,80.051,3rMsX63C0IZVnOT5LGYoTH,227533,Russian Roulette
0.697,0.315,-8.091,0.234,0.11,0,0.0825,0.298,110.872,4pAl7FkDMNBsjykPXo91B3,191600,Needed Me
0.637,0.573,-6.843,0.0449,0.14,0,0.13,0.114,127.003,0a2JCinEvl21WeWLJBt7hM,303733,Skin
0.719,0.847,-6.34,0.0919,0.00201,0.0204,0.223,0.443,127.96,3tyPOhuVnt5zd5kGfxbCyL,242680,Where Have You Been
0.801,0.674,-4.185,0.031,0.000282,0.000139,0.0914,0.875,125.009,46aZJc0z1HHHSFxaIRxYSP,200573,Breakin' Dishes
0.735,0.766,-4.485,0.0384,0.025,0.00141,0.108,0.6,127.975,3t4HeVfURZ5DuqMWz0Cmqg,215227,We Found Love
0.509,0.637,-4.83,0.047,0.0717,1.08e-05,0.0789,0.379,172.007,5oO3drDxtziYU2H1X23ZIp,224000,Love On The Brain
0.402,0.696,-4.798,0.0448,0.0476,0,0.628,0.227,180.107,2RWs4c3ZJ74WwXlVC3QCQN,243093,What Now
0.781,0.853,-3.68,0.0714,0.0526,0,0.12,0.626,110.046,48RrDBpOSSl1aLVCalGl5C,250189,The Monster
0.708,0.553,-6.319,0.0262,0.0335,0,0.101,0.589,94.974,6g1B0hd6rlT3xP3mERUnz8,213213,Good Girl Gone Bad
0.47,0.904,-4.024,0.177,0.0436,0,0.0491,0.557,155.789,1Bx0zEdVjkFlV27iKaePug,267000,Man Down
0.677,0.671,-4.906,0.0361,0.00379,5.18e-05,0.413,0.508,137.033,3sBmTwwsCwty2RNjOOvRVu,238920,SOS
0.717,0.698,-5.772,0.136,0.0143,0.00121,0.131,0.381,129.04,3Naj4ZtvX9VpVqJH5EKmJE,205067,Numb
0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,30cSNer6TV8x2utjULVeQ5,238920,SOS
0.629,0.819,-6.181,0.254,0.227,0.00733,0.169,0.47,162.048,4IBihEaN04iwfX5I9sGFj9,264453,Jump
